diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,roomId,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
81,199300,16,0,461500,461500,20,0,0,0,False,6872208636699362309,False,False,False,0,7285666828034050848,MS4wLjABAAAAAt7KnBBnQT-EVT-LYeuppAGkfgzB1pvuB2d1dR6wEsl_XvSp6ovsS1n65hXVvvfn,False,0,False,portalhub,False,1690747068,1694938908
1337,1949,39,0,45600,45600,69,0,0,0,False,6867871652178461701,False,False,False,0,MS4wLjABAAAAHyAsWazJ6GvqKwOMIEJXB0xNhw4ZBS0YZM3D0D5YemJTpb45A5fAetOrqCibM4FH,False,0,False,bartekkk.kkk,False,1690747068,1694938908
1510,586200,10,0,5800000,5800000,226,0,0,0,False,6733990391148200966,False,False,False,0,MS4wLjABAAAAmTk5t0Rv00rpnM17plos72QDaGhL7Xb18qzR8V5n-Hl1O0b2K_3m4iu-2a4onRbO,False,0,False,maslo20,False,1690747068,1694938908
491,4224,1124,0,36100,36100,58,0,0,0,False,7095405820545287173,False,False,False,0,MS4wLjABAAAAo3ium-DF4jjxcAySLGo24kqlRB8p7g-EzWh8ffGSBXAv1vWyR3osKZGqsK3pOFxi,False,0,False,zzaj3bisty.iksdee,False,1690747068,1694938908
282,12800,66,0,82300,82300,0,0,0,0,False,6816167354037257222,False,False,False,0,7285792731696974597,MS4wLjABAAAAetaHyLeEcRO_qTyvPKcrUrqsnBZeXwbF0mX3uasUAeEwi3cVvIvmWMV6N0f7hXnP,False,0,False,its_me_playgod,False,1690747068,1694938908
1233,547100,2060,0,201500,201500,115,0,0,0,False,6954638452957152257,False,False,False,0,MS4wLjABAAAAausAHfNY6hSVt1qsSd9ODgYCM4k9oHZ-PPtcKIrJcGGBObS2hjJTaS2A0_uHc0h-,False,0,False,dimasfadillah600,False,1690747068,1694938908
1042,220000,2624,0,178700,178700,223,0,0,0,False,7183071068994487323,False,True,False,0,MS4wLjABAAAALEr5Ni4zLdD3c7m1kVjkIsQaNhNnXH6YlXTMW7jp01uD1uAO65L7O5A5wIPehU_k,False,0,False,hihisoncodon,False,1690747068,1694938908
523,233,130,0,143,143,1,0,3,0,False,6804877173641774086,False,False,False,0,MS4wLjABAAAA3NQutvlAZKgY5Iud5J1LNYxPzK-1aDVea0SEP74dRoz48WgFQtP05DSGCktqUJLw,False,3,False,dmarkelov_orginal,False,1690747068,1694938908
3143,325900,104,0,11900000,11900000,166,0,0,0,False,6992491136997213190,False,False,False,0,MS4wLjABAAAA2-YIBW3D63QM75iMkKxR0MqjB2cNY42f5LgaUh3tO_JTqo5_oVqpNU8g54Lt56ZJ,False,0,False,pawlowskigracjan,False,1690747068,1694938908
72200,987900,61,0,35200000,35200000,337,0,0,0,False,6896863046996935681,False,False,False,0,MS4wLjABAAAAaObPyXrF1hwUCJqO__uBbqm60_0l1KlJGvqxSNj5I5ZXIQIPxTo6gDy-3jZTZmKW,False,0,False,elli_ya,False,1690747068,1694938908
280,103500,83,0,510,510,0,0,0,0,False,6798643392807486469,False,False,False,0,7284744133836147502,MS4wLjABAAAA1Wi3OBOzYlngUZG3w9HxrFmMjNUcFp9pjodzOyvcyEKLCSkNFqO-dvbAjPb22lDF,False,0,False,jungle_js,False,1690747068,1694938908
62,10500,4946,0,740,740,69,0,0,0,False,7098961036151374894,False,False,False,0,MS4wLjABAAAAfZvYETayRUxELz3MFIDtaZwQbHb6EjGVqV1UP7cJWUSdLTJv1T-J_auaf9h7yPxS,False,0,False,edisonmartin88,False,1690747068,1694938908
